RussiaGate	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	FBI,Trump Aide,The Russian Government	JanKimbrough	na
preexistingconditions, obamacare	Michael Savage: If you have anxiety go suck on a lollipop.  	Michael Savage: If you have anxiety go suck on a lollipop.  	Michael Savage	FranMFarber	na
AHCA	I can not recall a day where I have been so angry so many different times to the point of seeing stars. Multiple issues. One @Potus 	I can not recall a day where I have been so angry so many different times to the point of seeing stars. Multiple issues. One @Potus 		UniteWomenSC	na
AHCA	"@NancyPelosi WINNING 

 "	"@NancyPelosi WINNING 

 "		TwoDanielSharp	na
AHCA	@RepTomMacArthur You are a sexist monster. Rape and assault is not a precondition women should be denied healthcare for. 	@RepTomMacArthur You are a sexist monster. Rape and assault is not a precondition women should be denied healthcare for. 		ElevatedDream	na
nan	Remember folks- these are grown up adult men & women elected to Congress. Acting like toddlers I might add! 🙄 	Remember folks- these are grown up adult men & women elected to Congress. Acting like toddlers I might add! 🙄 	Congress	purpledalmation	na
nan	The whole thread 	The whole thread 		Scone_Mason	na
AHCA	The Arc Responds to House  Passage of : “Shows callous & dangerous disregard 4 wellbeing of ppl w disabilities” 	The Arc Responds to House  Passage of : “Shows callous & dangerous disregard 4 wellbeing of ppl w disabilities” 	The Arc	LuzCoArc	na
nan	"The House Just Passed a Bill to Rewrite Obamacare ""House Republicans say their bill repeals the ACA. Instead, it l… "	"The House Just Passed a Bill to Rewrite Obamacare ""House Republicans say their bill repeals the ACA. Instead, it l… "	House Republicans	max_follow	na
AHCA	"This is true: ""It’s a bill that’s sold on a giant pack of lies""  "	"This is true: ""It’s a bill that’s sold on a giant pack of lies""  "	It’s	BobDohertyACP	na
AHCA, CACA, Trumpcare, neverforget, VoteThemOut	The cruelty of      	The cruelty of      		annalynnmartino	na
AHCA	HRW calls on US Senate to reject  legislation as an unacceptable attack on the right to health care for all  … 	HRW calls on US Senate to reject  legislation as an unacceptable attack on the right to health care for all  … 	US Senate	HRW_Miami	na
VOTE2018, GOP	 the  out 	 the  out 		grrilatweet	na
nan	A similar situation to Type 1 diabetics on too low an income. Or... the US equivalent of...me. 	A similar situation to Type 1 diabetics on too low an income. Or... the US equivalent of...me. 	Type 1	MarkMurphy66	na
nan	Want to take immediate revenge on House Republicans who voted to destroy health care? Here's how : 	Want to take immediate revenge on House Republicans who voted to destroy health care? Here's how : 	House Republicans	TheFugitivePoet	na
VoteAmodeiOut	"cc @MarkAmodeiNV2 take a good look.  We will not forget.
 "	"cc @MarkAmodeiNV2 take a good look.  We will not forget.
 "		LVAnnie	na
AHCA, TheResistance	.@realDonaldTrump Oops. Cock.   	.@realDonaldTrump Oops. Cock.   		DaddyHopp	na
Obamacare, Repeal	Senate GOP to Snub House   Bill and Write Its Own  via @bpolitics	Senate GOP to Snub House   Bill and Write Its Own  via @bpolitics	Snub House	kjilly	na
AHCA	"Comments from @repdonyoung on his support for ACA repeal/, via @lruskin
 "	"Comments from @repdonyoung on his support for ACA repeal/, via @lruskin
 "		ZachHughesAK	na
AHCA	"@swingleft  Vote the evil, laughing jackasses out.
"	"@swingleft  Vote the evil, laughing jackasses out.
"		jenh58	na
AHCA	Yay, we actually got $omething done! Sure the vote was 217 to 213, but 217 to 213 means YOU LOSE your health insurance. 	Yay, we actually got $omething done! Sure the vote was 217 to 213, but 217 to 213 means YOU LOSE your health insurance. 		BigBrotherTrump	na
AHCA	"Does @CongCulberson have an opponent for his seat yet? If not, swear I will run against him. I'm that mad.
@actblue
@texasdemocrats
"	"Does @CongCulberson have an opponent for his seat yet? If not, swear I will run against him. I'm that mad.
@actblue
@texasdemocrats
"		margcellent	na
nan	The Republican party is the most superficial men and woman in this country they  don't stand for anything but them self just like Donald 	The Republican party is the most superficial men and woman in this country they  don't stand for anything but them self just like Donald 	The Republican,Donald	CandykaneKitten	na
nan	Love it! Now let's make it a reality! 	Love it! Now let's make it a reality! 		nolababe	na
nan	The GOP health bill will take away mental health care. @RepMeehan We're supporting your opponent. 	The GOP health bill will take away mental health care. @RepMeehan We're supporting your opponent. 		mrshellwinger	na
nan	It's actually a lot bigger than that...higher than Mt. Everest. 	It's actually a lot bigger than that...higher than Mt. Everest. 	Mt	ArcheundHaus	na
gopistheswamp, AHCA	@GOP  I truly hope What goes around comes around for 217 of you  	@GOP  I truly hope What goes around comes around for 217 of you  		MFLORIOCAN	na
AHCA	This was all politics and arm twisting. No true research done or consideration taken for the millions of lives it will affect. 	This was all politics and arm twisting. No true research done or consideration taken for the millions of lives it will affect. 		Titou4004	na
nan	Thank you to those who voted yes. We need a redo on unaffordable obamacare 	Thank you to those who voted yes. We need a redo on unaffordable obamacare 		MizTiques7	na
nan	"@billmaher @refooksjr @senfranken @tomhanks 

No hearings. No CBO score. No vetting. No debate. So...no one knows.

    "	"@billmaher @refooksjr @senfranken @tomhanks 

No hearings. No CBO score. No vetting. No debate. So...no one knows.

    "		Once_Hugo_Black	na
obamacare	The free market will fix the  disaster after the congress lifts the burden.	The free market will fix the  disaster after the congress lifts the burden.		_GriffTheGreat_	na
Obamacare, Trumpcare	GOP Takes Ownership Of Failing  With  Vote That Doesn't Repeal Obamacare  	GOP Takes Ownership Of Failing  With  Vote That Doesn't Repeal Obamacare  		aubrynathome	na
AHCA	Today republicans proved that they no longer have the interests American citizens in mind. Only the pocketbooks of the rich. 	Today republicans proved that they no longer have the interests American citizens in mind. Only the pocketbooks of the rich. 		LeapusGames	na
Obamacare, FACT	"With  I
- Couldn't keep my doctor
- Couldn't keep my plan
- Paid Higher Premiums
- Had Higher Deductible
- Had Less Coverage
"	"With  I
- Couldn't keep my doctor
- Couldn't keep my plan
- Paid Higher Premiums
- Had Higher Deductible
- Had Less Coverage
"		MargaretClancy	na
AHCA	My Sims City has better health coverage than .	My Sims City has better health coverage than .	Sims City	lisaomalleyca	na
AHCA	As a Canadian, I can assure you that universal healthcare is one of our proudest/most treasured accomplishments. This makes me sad.  	As a Canadian, I can assure you that universal healthcare is one of our proudest/most treasured accomplishments. This makes me sad.  		RatherUnwitting	na
AHCA	Can anyone name one good thing about the ? Seriously.	Can anyone name one good thing about the ? Seriously.		musingsofmegan	na
nan	Support @DFL3CD  to find candidate to CRUSH @RepErikPaulsen in '18. Will NOT forget his vote for !  	Support @DFL3CD  to find candidate to CRUSH @RepErikPaulsen in '18. Will NOT forget his vote for !  		SueScottMN	na
nan	Socialist medicine fails when the rich run out of money. Plus your new world is being invaded by third world savages. 	Socialist medicine fails when the rich run out of money. Plus your new world is being invaded by third world savages. 		Bigger_Bull	na
AHCA, TheResistance	A Little-Noticed Target in the House Health Bill: Special Education  @RepLanceNJ7  	A Little-Noticed Target in the House Health Bill: Special Education  @RepLanceNJ7  		JSavoly	na
tcot, ccot, Obamacare, ObamaLegacy, Failure, Libtards, GOP	House HAS VOTES Now To REPEAL OBAMACARE! [VIDEO]        	House HAS VOTES Now To REPEAL OBAMACARE! [VIDEO]        	House	Czarcraft_	na
AHCA	.@RepAndyHarrisMD You're a big piece of shit! Thanks for you sticking by your party and not the country 	.@RepAndyHarrisMD You're a big piece of shit! Thanks for you sticking by your party and not the country 		rmurphyartist	na
AHCA	Maybe it is time voting for the  became a preexisting condition. Untreatable and terminal at mid-term elections, 2018.  	Maybe it is time voting for the  became a preexisting condition. Untreatable and terminal at mid-term elections, 2018.  		AltPeapup	na
nan	"Remember their names(1/2):
@RepLaMalfa
@repmcclintock
@reppaulcook
@RepJeffDenham
@RepDavidValadao
@devinnunes… "	"Remember their names(1/2):
@RepLaMalfa
@repmcclintock
@reppaulcook
@RepJeffDenham
@RepDavidValadao
@devinnunes… "		banditelli	na
nan	what 	what 		retrocampaigns	na
AHCA	Dems to GOP after AHCA vote: 'Hey hey hey, goodbye' That's Awesome! The  Sucks  	Dems to GOP after AHCA vote: 'Hey hey hey, goodbye' That's Awesome! The  Sucks  	GOP,AHCA	vela_mary	na
nan	@janekleeb @NebraskaDems We need to work with everything we've got to turn NE house seats in 2018. 	@janekleeb @NebraskaDems We need to work with everything we've got to turn NE house seats in 2018. 		sunkist111	na
AHCA, voteoutGOP	"Nailed it. Tear up your ""Christian"" cards, you snakes.
  "	"Nailed it. Tear up your ""Christian"" cards, you snakes.
  "	Christian	jitterymoose	na
AHCA, MAGA	You can thank old, rich, white men for the lives that will be lost/taken away because of this  	You can thank old, rich, white men for the lives that will be lost/taken away because of this  	rich	em_shz	na
AHCA, Religiousliberty	How's that mild nausea, Comey?  	How's that mild nausea, Comey?  		jooblee	na
nan	"Come time for reelection, they will hear a large collective chorus of ""Don't let the door hit you...."" "	"Come time for reelection, they will hear a large collective chorus of ""Don't let the door hit you...."" "		CIAspygirl	na
nan	They'll rue this day. In fact, I doubt they'll sleep well tonight. 	They'll rue this day. In fact, I doubt they'll sleep well tonight. 		snooze_cat	na
obamacare, AHCA	Don't worry Libs, Bleeding Hearts will still be covered under the AHCA  	Don't worry Libs, Bleeding Hearts will still be covered under the AHCA  	Bleeding Hearts	jmillst1234	na
GOP, AHCA, GodFuckingDamnit, America, Backtracked	We're all as good as dead because the foxes are running the henhouse.     isn't America now. 	We're all as good as dead because the foxes are running the henhouse.     isn't America now. 	America	giveawaytrigy	na
AHCA	"This is removing federal troops from a Reconstruction South.

This is trickle-down economics.

This is called a win.

"	"This is removing federal troops from a Reconstruction South.

This is trickle-down economics.

This is called a win.

"		HDickmeyer	na
nan	You forgot one... Voted to make rape a pre-existing condition so women will fear to report and lose insurance. Be bold, you did this.  	You forgot one... Voted to make rape a pre-existing condition so women will fear to report and lose insurance. Be bold, you did this.  		UrbanMilkmaid	na
nan	Yes, celebrate ridding millions of americans of a healthy future where they won't have to choose between life-saving medication and food. 	Yes, celebrate ridding millions of americans of a healthy future where they won't have to choose between life-saving medication and food. 		DerMonarch	na
Trumpcare, voters, KILLTHEPOOR	Watch this quick vid as  make easy prey out of their own !  Oh yes and be sure to  the next time too! 	Watch this quick vid as  make easy prey out of their own !  Oh yes and be sure to  the next time too! 		Jennifer_Rising	na
AHCA	@thatbilloakley As someone with a pre-existing condition....Everyone who voted for the  can go fuck themselves.	@thatbilloakley As someone with a pre-existing condition....Everyone who voted for the  can go fuck themselves.		iamTannenbaum	na
